timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,73.03,73.22,65.43,72.02,58.52,85.02,71.21
0.03,83.52,85.34,73.06,81.03,64.91,75.82,77.28
0.07,84.79,86.49,74.59,82.16,66.29,79.81,79.02
0.10,84.03,85.95,74.13,82.65,67.33,83.50,79.60
0.13,84.20,85.57,74.23,82.02,67.72,84.28,79.67
0.17,82.38,83.19,73.53,79.69,66.30,86.79,78.65
0.20,81.63,82.44,72.74,79.55,66.32,86.43,78.19
0.23,82.67,83.62,73.85,81.07,67.15,86.02,79.06
0.27,82.83,83.89,73.56,81.65,66.55,86.62,79.18
0.30,82.89,84.06,72.94,81.56,65.86,85.72,78.84
0.33,83.42,84.70,73.20,81.34,66.63,83.01,78.72
0.37,83.28,84.31,73.52,80.98,66.49,83.79,78.73
0.40,83.03,84.14,73.46,81.04,66.09,85.31,78.85
0.43,83.00,84.21,73.42,81.23,66.18,85.69,78.96
0.47,77.84,77.78,69.76,78.62,60.02,96.79,76.80
0.50,81.66,81.83,73.11,80.85,63.37,90.46,78.55
0.53,78.05,78.03,70.05,78.86,60.26,94.48,76.62
0.57,78.56,78.54,70.23,78.84,60.25,95.23,76.94
0.60,79.42,79.46,71.14,79.65,60.73,92.44,77.14
0.63,77.49,77.47,69.30,78.18,59.44,93.23,75.85
0.67,76.39,76.39,68.43,77.12,58.58,91.79,74.78
0.70,76.63,76.61,69.66,76.90,59.34,90.55,74.95
0.73,79.97,79.68,72.78,77.82,62.16,87.78,76.70
0.77,79.76,79.79,72.42,79.02,61.73,92.48,77.54
0.80,78.82,78.89,71.52,78.71,61.26,91.20,76.73
0.83,79.11,79.21,71.69,78.66,61.68,90.93,76.88
0.87,79.34,79.52,71.74,78.59,61.87,91.75,77.14
0.90,79.86,80.07,72.17,79.19,62.15,91.42,77.48
0.93,79.68,79.84,72.22,78.70,62.08,90.19,77.12
0.97,79.52,79.62,72.03,78.31,61.81,89.71,76.83
1.00,79.36,79.42,71.94,78.13,61.51,89.73,76.68
1.03,79.13,79.16,71.62,78.07,61.13,90.29,76.57
1.07,79.86,79.88,72.01,78.36,61.45,90.27,76.97
1.10,79.96,79.97,72.07,78.51,61.55,91.04,77.19
1.13,80.29,80.29,72.35,78.88,61.81,91.25,77.48
1.17,80.63,80.63,72.96,80.14,62.13,91.66,78.03
1.20,80.56,80.53,72.99,80.45,62.10,92.06,78.12
1.23,80.35,80.29,72.78,80.46,61.97,92.47,78.05
1.27,80.11,80.04,72.53,80.24,61.83,92.64,77.90
1.30,79.71,79.61,72.12,79.71,61.55,92.48,77.53
1.33,79.65,79.52,71.97,79.44,61.53,91.94,77.34
1.37,77.70,77.63,70.32,77.83,60.24,90.42,75.69
1.40,76.09,76.06,68.98,76.67,59.11,89.66,74.43
1.43,74.99,74.98,68.03,75.70,58.30,88.68,73.45
1.47,73.92,73.96,67.13,74.82,57.56,87.74,72.52
1.50,73.45,73.51,66.76,74.47,57.20,87.39,72.13
1.53,73.09,73.17,66.46,74.21,56.96,87.27,71.86
1.57,73.08,73.17,66.42,74.13,56.98,87.58,71.89
1.60,73.16,73.26,66.46,74.12,57.04,87.87,71.99
1.63,73.34,73.43,66.60,74.18,57.18,87.95,72.11
1.67,73.37,73.45,66.57,74.17,57.20,87.87,72.10
1.70,73.43,73.50,66.60,74.19,57.26,87.90,72.15
1.73,73.56,73.62,66.69,74.26,57.39,88.10,72.27
1.77,73.80,73.83,66.88,74.45,57.57,88.45,72.50
1.80,73.99,74.02,67.02,74.60,57.72,88.62,72.66
1.83,74.03,74.05,67.02,74.62,57.78,88.73,72.71
1.87,74.06,74.07,67.06,74.60,57.92,88.69,72.73
1.90,74.16,74.16,67.16,74.74,58.12,89.24,72.93
1.93,75.23,75.14,68.18,76.19,59.04,90.80,74.10
1.97,76.16,75.96,69.09,77.23,59.96,91.12,74.92
2.00,77.22,76.86,69.94,78.07,60.73,89.67,75.41
2.03,78.21,77.73,70.45,79.14,61.34,88.38,75.87
2.07,78.50,78.00,70.50,79.60,61.19,87.86,75.94
2.10,78.89,78.32,70.53,80.55,61.11,86.39,75.96
2.13,79.03,78.45,69.97,80.61,60.51,84.50,75.51
2.17,78.91,78.29,69.71,81.01,60.23,83.21,75.23
2.20,78.83,78.23,69.11,81.13,59.69,81.08,74.68
2.23,79.03,78.39,68.35,81.81,59.14,80.01,74.45
2.27,77.88,77.35,66.72,81.92,57.49,80.58,73.66
2.30,77.84,77.31,66.08,82.35,56.34,79.37,73.21
2.33,78.51,77.83,66.28,82.90,56.17,76.86,73.09
2.37,78.39,77.39,65.84,82.54,55.84,75.17,72.53
2.40,76.82,75.96,64.22,81.66,53.92,75.36,71.32
2.43,77.46,75.81,64.15,80.62,54.50,74.55,71.18
2.47,77.56,75.57,63.75,79.72,55.19,74.73,71.09
2.50,77.11,75.29,63.68,79.85,56.53,76.51,71.49
2.53,77.66,75.66,64.91,80.28,58.65,76.49,72.27
2.57,78.97,76.75,67.23,82.18,61.64,79.15,74.32
2.60,79.71,77.72,69.46,80.90,63.59,78.71,75.02
2.63,78.51,77.24,70.89,78.48,65.39,75.12,74.27
2.67,78.53,77.38,74.64,75.35,70.54,70.41,74.47
2.70,79.46,78.87,80.55,73.63,76.73,70.69,76.66
2.73,77.46,77.10,81.52,70.28,71.46,71.71,74.92
2.77,79.34,79.06,79.33,71.75,72.96,71.98,75.74
2.80,81.01,81.32,77.42,72.19,73.62,69.90,75.91
2.83,81.50,82.23,82.17,70.48,79.18,66.77,77.06
2.87,82.23,82.97,87.66,69.41,87.48,64.58,79.05
2.90,83.26,83.84,88.98,69.47,86.92,65.21,79.61
2.93,85.04,85.06,91.46,80.27,89.88,73.23,84.16
2.97,86.23,85.95,93.56,80.08,89.77,67.42,83.84
3.00,87.17,86.50,99.13,79.72,95.54,73.47,86.92
3.03,87.74,86.36,96.66,80.61,91.05,76.00,86.40
3.07,88.11,86.11,93.60,81.63,90.46,75.52,85.90
3.10,89.01,86.13,92.16,82.32,88.40,74.60,85.44
3.13,88.60,85.83,90.61,82.08,86.85,72.57,84.42
3.17,88.33,85.75,89.64,81.87,85.65,71.67,83.82
3.20,87.69,85.08,87.60,82.64,84.53,72.32,83.31
3.23,87.20,84.63,86.94,84.74,85.50,76.89,84.32
3.27,86.48,84.04,85.93,86.15,85.66,76.92,84.20
3.30,85.91,83.64,85.59,86.48,87.01,77.20,84.31
3.33,85.08,82.94,85.91,87.20,88.46,78.20,84.63
3.37,84.89,82.92,86.40,87.34,88.79,78.51,84.81
3.40,84.57,82.62,86.39,87.58,89.30,79.30,84.96
3.43,84.57,82.52,86.48,87.89,90.24,79.71,85.24
3.47,84.60,82.54,84.31,88.17,83.64,80.06,83.89
3.50,84.68,82.60,83.97,88.23,82.00,79.64,83.52
3.53,84.76,82.74,83.68,88.03,83.67,78.90,83.63
3.57,84.87,82.86,84.96,87.93,90.95,79.45,85.17
3.60,84.87,82.98,86.62,88.00,91.22,80.14,85.64
3.63,85.08,83.38,81.87,87.34,74.00,69.29,80.16
3.67,85.14,83.57,80.18,87.85,71.77,74.20,80.45
3.70,85.29,83.85,80.25,87.92,77.43,73.59,81.39
3.73,85.54,84.09,80.98,87.36,83.57,72.99,82.42
3.77,85.64,84.17,84.76,86.33,94.72,71.24,84.48
3.80,85.44,84.12,87.93,87.08,95.61,72.83,85.50
3.83,85.45,84.21,89.11,87.13,95.16,68.37,84.91
3.87,85.25,84.20,89.60,87.50,93.79,67.52,84.64
3.90,84.80,83.79,89.25,88.95,93.54,69.16,84.92
3.93,84.23,83.26,88.17,90.37,95.21,70.19,85.24
3.97,83.94,83.02,88.06,93.06,95.64,79.75,87.24
4.00,83.86,82.97,88.17,93.55,95.34,82.27,87.70
4.03,83.85,82.99,88.29,93.94,95.27,86.04,88.40
4.07,83.92,83.13,88.50,94.16,95.23,85.29,88.37
4.10,84.21,83.43,89.33,93.91,94.45,83.82,88.19
4.13,84.39,83.61,89.77,93.77,94.04,82.94,88.09
4.17,84.61,83.84,90.31,93.58,93.40,82.59,88.06
4.20,84.66,83.86,89.55,93.60,97.62,82.21,88.58
4.23,84.90,84.05,89.99,93.41,97.70,81.95,88.67
4.27,84.96,84.04,88.40,93.52,97.95,81.91,88.46
4.30,84.92,83.90,88.31,93.90,97.83,85.50,89.06
4.33,85.03,83.75,88.57,93.84,97.11,84.71,88.84
4.37,85.01,83.62,88.46,92.58,96.80,78.01,87.41
4.40,85.08,83.51,88.57,92.08,96.89,76.50,87.11
4.43,85.11,83.44,88.54,92.02,96.89,76.79,87.13
4.47,85.30,83.55,89.42,92.37,98.46,88.92,89.67
4.50,85.54,83.70,90.34,91.99,98.00,87.42,89.50
4.53,85.71,83.76,91.23,91.82,96.67,86.58,89.30
4.57,85.44,83.63,91.03,90.89,97.03,76.43,87.41
4.60,85.55,83.86,91.68,92.46,96.78,90.13,90.08
4.63,85.64,84.32,92.40,92.20,94.94,90.68,90.03
4.67,85.79,84.20,92.75,92.28,94.71,91.49,90.20
4.70,85.86,84.81,91.23,93.74,96.23,91.99,90.64
4.73,86.07,84.74,88.89,93.18,91.20,92.96,89.51
4.77,86.09,84.85,90.11,91.53,90.87,92.51,89.33
4.80,85.86,84.85,89.42,91.42,91.29,92.45,89.22
4.83,85.72,84.52,88.29,90.10,90.19,89.90,88.12
4.87,85.66,84.39,87.22,89.00,89.10,87.63,87.17
4.90,85.53,84.34,86.39,88.59,89.51,88.04,87.07
4.93,85.25,84.24,85.59,88.38,87.65,87.63,86.46
4.97,85.09,84.16,85.18,88.10,86.90,86.99,86.07
5.00,84.80,84.00,84.75,88.16,86.01,86.95,85.78
5.03,84.71,83.94,84.49,88.11,85.34,86.98,85.60
5.07,84.66,83.89,84.22,88.15,85.05,86.92,85.48
5.10,84.69,83.98,83.98,89.07,84.59,86.74,85.51
5.13,84.76,84.23,83.87,89.56,83.82,86.69,85.49
5.17,84.85,84.44,83.89,89.98,83.22,86.71,85.52
5.20,85.21,84.98,84.10,90.86,82.82,86.59,85.76
5.23,85.49,85.40,84.01,92.09,81.74,85.95,85.78
5.27,85.85,85.79,84.50,92.55,80.80,86.10,85.93
5.30,86.29,86.29,84.89,91.61,79.89,86.55,85.92
5.33,86.63,87.02,85.41,92.78,80.30,87.52,86.61
5.37,86.75,87.54,85.40,93.06,78.34,87.37,86.41
5.40,86.96,87.73,86.04,91.87,78.34,87.66,86.43
5.43,87.04,87.85,86.15,92.00,77.83,86.96,86.31
5.47,87.14,87.95,86.19,92.21,77.51,86.73,86.29
5.50,87.21,88.01,86.07,91.37,76.85,85.53,85.84
5.53,87.46,88.30,85.61,91.93,75.60,83.26,85.36
5.57,87.67,88.52,85.70,91.17,75.53,82.07,85.11
5.60,87.82,88.79,85.47,91.59,75.43,80.16,84.88
5.63,87.97,88.91,85.12,91.53,74.57,78.20,84.39
5.67,88.04,88.97,85.11,92.55,74.26,75.35,84.05
5.70,88.07,88.98,85.21,93.30,74.50,74.63,84.12
5.73,88.10,88.94,85.24,93.14,75.84,74.97,84.37
5.77,88.24,89.06,85.58,93.56,74.91,74.81,84.36
5.80,88.21,89.22,86.38,94.32,74.49,73.94,84.43
5.83,88.06,89.37,83.85,94.02,72.77,75.16,83.87
5.87,88.17,89.33,84.00,91.49,74.01,79.32,84.39
5.90,88.23,89.16,84.57,89.28,73.59,81.83,84.45
5.93,88.25,89.13,83.95,89.08,74.03,82.56,84.50
5.97,88.60,89.12,85.04,88.11,74.38,82.55,84.63
6.00,88.80,89.16,85.26,87.27,70.03,80.76,83.55
6.03,88.97,88.91,85.51,87.18,70.59,78.13,83.21
6.07,89.17,88.73,85.11,85.50,72.51,78.42,83.24
6.10,89.43,88.72,85.84,85.25,71.45,77.98,83.11
6.13,89.47,88.67,86.72,83.89,70.22,78.38,82.89
6.17,89.48,88.67,85.93,84.34,68.29,78.67,82.56
6.20,89.87,88.58,86.49,84.32,70.23,80.84,83.39
6.23,90.66,88.64,90.78,83.88,72.29,75.11,83.56
6.27,91.02,88.65,89.56,83.48,74.13,76.54,83.90
6.30,91.31,88.66,82.65,82.86,64.68,75.43,80.93
6.33,91.25,88.56,85.92,82.46,80.48,76.96,84.27
6.37,90.94,88.29,64.62,80.96,47.10,77.14,74.84
6.40,90.57,88.07,77.88,79.85,76.85,75.95,81.53
