timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,67.50,65.88,66.29,66.61,71.99,61.54,66.63
0.03,56.30,56.74,58.32,62.77,60.71,61.52,59.39
0.07,57.40,57.91,57.94,61.49,60.31,59.93,59.16
0.10,58.27,58.76,58.57,63.54,61.70,63.26,60.68
0.13,56.63,57.13,57.19,62.63,59.63,61.41,59.10
0.17,56.93,57.51,57.37,64.01,60.77,61.20,59.63
0.20,56.65,57.18,56.72,63.65,60.46,60.95,59.27
0.23,56.35,56.80,57.08,61.87,60.27,58.63,58.50
0.27,56.47,56.91,57.02,61.98,60.49,58.63,58.58
0.30,57.09,57.51,57.67,63.11,60.64,60.00,59.34
0.33,57.26,57.68,58.25,63.90,60.99,61.31,59.90
0.37,57.17,57.54,58.25,63.38,60.97,60.83,59.69
0.40,57.23,57.62,58.07,63.19,60.84,60.25,59.54
0.43,57.19,57.57,57.82,62.93,60.43,60.26,59.37
0.47,57.23,57.63,57.96,62.81,60.49,59.90,59.34
0.50,57.23,57.65,57.91,63.01,60.48,60.24,59.42
0.53,56.88,57.35,57.50,62.71,59.99,59.77,59.03
0.57,57.21,57.65,57.89,62.92,60.63,59.76,59.34
0.60,57.56,57.93,58.41,63.16,61.25,60.31,59.77
0.63,57.60,57.95,58.59,63.10,61.34,60.43,59.83
0.67,57.65,58.00,58.64,63.13,61.30,60.71,59.90
0.70,57.79,58.13,58.81,63.17,61.37,60.96,60.04
0.73,57.86,58.20,58.89,63.02,61.47,61.10,60.09
0.77,57.86,58.22,58.92,62.90,61.60,61.18,60.11
0.80,57.96,58.30,58.95,62.92,61.84,60.99,60.16
0.83,57.94,58.28,58.83,62.88,61.72,60.95,60.10
0.87,57.94,58.30,58.76,62.84,61.68,60.89,60.07
0.90,58.00,58.35,58.84,62.80,61.79,60.76,60.09
0.93,58.02,58.36,58.86,62.78,61.86,60.73,60.10
0.97,58.02,58.34,58.83,62.77,61.85,60.74,60.09
1.00,57.98,58.29,58.77,62.71,61.82,60.74,60.05
1.03,57.98,58.29,58.77,62.70,61.82,60.80,60.06
1.07,57.99,58.30,58.74,62.70,61.82,60.83,60.06
1.10,58.02,58.32,58.72,62.71,61.84,60.84,60.08
1.13,58.03,58.33,58.72,62.71,61.86,60.89,60.09
1.17,58.02,58.30,58.70,62.70,61.78,60.93,60.07
1.20,58.05,58.31,58.75,62.64,61.89,60.82,60.08
1.23,58.04,58.28,58.74,62.58,61.96,60.79,60.07
1.27,57.95,58.18,58.62,62.37,61.90,60.51,59.92
1.30,57.85,58.07,58.49,62.16,61.78,60.25,59.77
1.33,57.82,58.03,58.44,62.08,61.76,59.95,59.68
1.37,57.81,58.02,58.41,62.02,61.79,59.82,59.64
1.40,57.78,57.99,58.38,61.97,61.76,59.79,59.61
1.43,57.77,57.98,58.36,61.89,61.73,59.69,59.57
1.47,57.78,57.99,58.38,61.90,61.76,59.71,59.58
1.50,57.76,57.97,58.35,61.82,61.81,59.64,59.56
1.53,57.74,57.95,58.30,61.71,61.85,59.47,59.50
1.57,57.70,57.91,58.24,61.69,61.86,59.27,59.45
1.60,57.73,57.94,58.26,61.68,61.92,59.18,59.45
1.63,57.72,57.92,58.23,61.64,61.95,59.13,59.43
1.67,57.72,57.92,58.21,61.64,61.94,59.06,59.42
1.70,57.71,57.92,58.19,61.63,61.94,59.05,59.41
1.73,57.67,57.88,58.13,61.61,61.85,59.02,59.36
1.77,57.57,57.79,57.99,61.51,61.71,58.98,59.26
1.80,57.59,57.80,58.04,61.61,61.75,59.06,59.31
1.83,57.65,57.86,58.13,61.81,61.80,59.33,59.43
1.87,57.65,57.87,58.08,61.89,61.70,59.40,59.43
1.90,57.63,57.86,58.05,61.92,61.57,59.42,59.41
1.93,57.51,57.77,57.89,61.82,61.02,59.34,59.22
1.97,57.49,57.76,57.98,61.80,60.89,59.32,59.21
2.00,57.47,57.76,58.33,61.70,60.56,59.78,59.27
2.03,57.47,57.77,58.45,61.19,60.34,59.77,59.16
2.07,57.50,57.81,58.59,60.77,60.17,60.55,59.23
2.10,57.62,57.95,58.90,60.28,60.04,61.22,59.33
2.13,57.78,58.11,59.31,59.81,58.99,62.29,59.38
2.17,57.69,58.06,59.69,58.95,57.25,64.05,59.28
2.20,57.65,58.08,60.69,58.39,56.08,64.53,59.24
2.23,57.69,58.13,61.49,57.93,55.59,64.51,59.22
2.27,57.89,58.30,62.51,57.23,55.09,63.12,59.02
2.30,58.04,58.44,63.68,57.22,54.24,61.82,58.91
2.33,58.17,58.56,64.21,57.23,53.81,61.89,58.98
2.37,58.21,58.56,64.80,56.73,53.29,60.59,58.70
2.40,58.26,58.60,64.99,56.22,52.78,59.54,58.40
2.43,58.28,58.57,64.39,56.06,52.40,58.72,58.07
2.47,58.43,58.72,64.81,55.82,52.51,58.18,58.08
2.50,58.51,58.81,65.30,55.52,52.66,58.85,58.27
2.53,58.56,58.87,65.30,55.46,52.69,59.34,58.37
2.57,58.63,58.94,65.28,55.33,52.76,59.98,58.49
2.60,58.71,59.01,65.22,55.10,52.81,60.06,58.48
2.63,58.76,59.05,65.22,54.87,52.87,60.06,58.47
2.67,58.87,59.16,65.76,54.88,53.04,60.28,58.67
2.70,58.91,59.19,65.90,54.90,53.06,59.93,58.65
2.73,58.92,59.20,65.91,54.91,53.07,59.97,58.66
2.77,58.91,59.19,65.82,54.90,52.89,59.85,58.59
2.80,58.90,59.19,65.78,54.95,52.87,60.11,58.63
2.83,58.92,59.21,65.78,55.02,52.72,60.14,58.63
2.87,58.90,59.19,65.65,55.02,52.46,60.10,58.55
2.90,58.85,59.15,65.46,55.04,52.11,59.95,58.43
2.93,58.80,59.08,65.21,55.12,52.03,60.43,58.44
2.97,58.71,58.99,65.14,55.12,51.68,60.42,58.35
3.00,58.71,58.99,65.29,55.21,51.49,60.36,58.34
3.03,58.75,59.03,65.45,55.29,51.38,60.28,58.36
3.07,58.78,59.07,65.59,55.43,51.38,60.41,58.44
3.10,58.82,59.11,65.65,55.53,51.37,59.45,58.32
3.13,58.87,59.17,65.80,55.55,51.41,59.04,58.30
3.17,58.92,59.23,66.00,55.57,51.44,59.01,58.36
3.20,59.04,59.34,66.24,55.62,51.56,59.37,58.53
3.23,59.14,59.44,66.38,55.59,51.60,59.46,58.60
3.27,59.24,59.54,66.58,55.57,51.64,59.57,58.69
3.30,59.38,59.67,66.82,55.62,51.90,59.63,58.84
3.33,59.46,59.76,67.01,55.75,52.04,59.58,58.93
3.37,59.53,59.83,67.17,55.86,52.14,59.77,59.05
3.40,59.60,59.89,67.29,56.03,52.21,59.91,59.16
3.43,59.69,59.97,67.46,56.18,52.28,60.16,59.29
3.47,59.74,60.03,67.55,56.29,52.31,60.61,59.42
3.50,59.76,60.04,67.56,56.22,52.37,60.96,59.49
3.53,59.75,60.04,67.58,56.20,52.37,61.16,59.52
3.57,59.75,60.03,67.67,56.20,52.24,61.36,59.54
3.60,59.71,59.98,67.56,56.01,52.07,61.27,59.43
3.63,59.70,59.96,67.21,55.92,52.03,61.23,59.34
3.67,59.53,59.79,66.94,55.83,51.66,60.56,59.05
3.70,59.42,59.67,66.73,55.76,51.43,60.17,58.86
3.73,59.29,59.53,66.36,55.67,51.21,59.88,58.66
3.77,59.20,59.44,66.21,55.58,51.02,59.04,58.42
3.80,59.10,59.34,65.99,55.48,50.80,58.67,58.23
3.83,58.85,59.09,65.60,55.28,50.56,58.58,57.99
3.87,58.65,58.89,65.30,55.16,50.41,58.54,57.82
3.90,58.44,58.68,64.95,55.08,50.24,59.24,57.77
3.93,58.23,58.45,64.58,54.89,50.09,58.86,57.52
3.97,58.12,58.32,64.39,54.77,50.02,58.62,57.37
4.00,58.15,58.36,64.49,54.77,50.04,57.97,57.30
4.03,58.25,58.48,64.74,54.95,50.16,57.76,57.39
4.07,58.28,58.52,64.81,54.94,50.14,57.61,57.38
4.10,58.42,58.65,65.12,55.00,50.15,57.32,57.44
4.13,58.59,58.83,65.43,55.10,50.27,57.12,57.56
4.17,58.72,58.94,65.60,55.23,50.34,57.34,57.70
4.20,58.81,59.03,65.87,55.30,50.41,57.76,57.86
4.23,58.87,59.11,66.14,55.32,50.48,57.43,57.89
4.27,58.91,59.16,66.34,55.35,50.57,58.16,58.08
4.30,58.88,59.13,66.39,55.35,50.56,58.60,58.15
4.33,58.88,59.13,66.46,55.38,50.57,58.96,58.23
4.37,58.84,59.08,66.43,55.40,50.55,59.49,58.30
4.40,58.88,59.11,66.67,55.66,50.56,59.53,58.40
4.43,58.90,59.10,66.73,55.68,50.57,59.57,58.42
4.47,58.90,59.08,66.74,55.67,50.46,59.45,58.38
4.50,58.88,59.06,66.76,55.66,50.42,59.61,58.40
4.53,58.87,59.05,66.80,55.64,50.43,59.63,58.40
4.57,58.84,59.03,66.79,55.61,50.41,59.83,58.42
4.60,58.80,58.99,66.73,55.56,50.45,59.58,58.35
4.63,58.81,59.00,66.78,55.56,50.53,59.43,58.35
4.67,58.83,59.03,66.80,55.55,50.57,59.40,58.36
4.70,58.82,59.02,66.79,55.55,50.56,59.42,58.36
4.73,58.90,59.09,66.90,55.64,50.62,59.53,58.45
4.77,59.02,59.21,67.00,55.68,50.73,59.67,58.55
4.80,59.16,59.35,67.14,55.65,50.87,59.39,58.59
4.83,59.33,59.51,67.22,55.64,51.01,58.80,58.59
4.87,59.75,59.92,67.93,55.78,51.24,56.50,58.52
4.90,60.08,60.24,68.49,55.91,51.38,57.14,58.87
4.93,60.20,60.37,68.63,55.75,51.67,57.22,58.97
4.97,60.18,60.35,68.57,55.61,51.98,57.13,58.97
5.00,60.04,60.21,68.20,55.40,51.98,57.13,58.82
5.03,60.03,60.18,68.17,55.38,52.22,57.31,58.88
5.07,59.94,60.04,68.01,55.41,52.63,56.94,58.83
5.10,59.98,60.06,68.13,55.45,53.11,57.02,58.96
5.13,60.20,60.30,68.35,55.68,53.79,57.90,59.37
5.17,60.45,60.55,68.74,55.96,54.26,58.60,59.76
5.20,60.40,60.52,68.21,56.04,54.29,59.72,59.86
5.23,60.39,60.51,68.29,56.07,54.22,59.81,59.88
5.27,60.21,60.32,68.03,55.84,53.97,59.70,59.68
5.30,60.07,60.13,67.80,55.62,53.70,59.27,59.43
5.33,60.01,60.07,67.69,55.60,53.51,59.02,59.32
5.37,60.05,60.11,67.76,55.64,53.40,58.04,59.17
5.40,60.13,60.16,67.92,55.69,53.36,56.91,59.03
5.43,60.27,60.28,68.22,55.77,53.45,56.64,59.10
5.47,60.34,60.34,68.41,55.82,53.53,56.53,59.16
5.50,60.34,60.34,68.40,55.80,53.45,56.50,59.14
5.53,60.35,60.34,68.34,55.80,53.37,56.40,59.10
5.57,60.34,60.33,68.11,55.79,53.31,56.17,59.01
5.60,60.27,60.25,67.95,55.36,53.22,55.84,58.81
5.63,60.27,60.24,67.89,55.22,53.22,55.91,58.79
5.67,60.34,60.32,67.99,55.18,53.30,55.54,58.78
5.70,60.35,60.33,67.97,55.11,53.33,55.78,58.81
5.73,60.28,60.24,67.87,55.12,53.38,55.85,58.79
5.77,60.23,60.19,67.84,55.15,53.45,55.91,58.80
5.80,60.28,60.25,67.81,55.20,53.52,56.47,58.92
5.83,60.31,60.27,67.76,55.19,53.52,56.79,58.97
5.87,60.34,60.31,67.81,55.21,53.48,56.93,59.01
5.90,60.34,60.31,67.83,55.21,53.17,57.24,59.02
5.93,60.22,60.19,67.59,54.77,53.03,56.99,58.80
5.97,60.18,60.15,67.54,54.64,53.01,56.83,58.73
6.00,60.21,60.20,67.75,54.44,53.34,56.94,58.81
6.03,60.22,60.21,67.86,54.24,53.51,55.81,58.64
6.07,60.13,60.12,67.85,54.02,53.42,55.35,58.48
6.10,60.04,60.03,67.81,53.82,53.34,54.97,58.33
6.13,60.08,60.08,67.98,53.80,53.55,55.01,58.42
6.17,60.13,60.13,68.20,53.75,53.73,54.74,58.45
6.20,60.12,60.12,68.17,53.70,53.79,54.72,58.44
6.23,60.10,60.11,68.14,53.67,53.85,54.78,58.44
6.27,60.13,60.14,68.18,53.68,53.94,54.87,58.49
6.30,60.00,60.01,67.91,53.65,53.80,54.77,58.36
6.33,59.59,59.59,67.09,53.54,53.40,54.49,57.95
6.37,59.28,59.29,66.36,53.47,53.10,54.38,57.65
6.40,59.08,59.09,66.20,53.64,53.21,55.08,57.72
6.43,58.95,58.95,66.21,53.72,53.29,55.15,57.71
6.47,58.90,58.90,66.18,53.94,53.41,55.94,57.88
6.50,58.98,58.98,66.49,54.31,53.62,56.64,58.17
6.53,59.04,59.03,66.73,54.56,53.84,57.04,58.37
6.57,59.06,59.05,66.77,54.58,53.82,57.33,58.43
6.60,59.09,59.08,66.80,54.64,53.77,57.79,58.53
6.63,59.08,59.07,66.81,54.62,53.61,57.91,58.52
6.67,59.08,59.07,66.80,54.59,53.54,57.86,58.49
6.70,59.13,59.12,66.86,54.59,53.54,57.67,58.49
6.73,59.19,59.17,66.88,54.56,53.58,54.12,57.92
6.77,59.20,59.18,66.90,54.50,53.58,53.19,57.76
6.80,59.17,59.15,66.87,54.48,53.46,53.38,57.75
6.83,59.13,59.11,66.80,54.40,53.32,53.46,57.70
6.87,59.10,59.07,66.81,54.25,53.41,53.50,57.69
6.90,59.06,59.04,66.77,54.20,53.53,53.48,57.68
6.93,58.97,58.95,66.60,54.11,53.50,53.33,57.58
6.97,58.74,58.72,66.26,53.80,53.15,53.00,57.28
7.00,58.51,58.48,65.90,53.53,52.81,53.25,57.08
7.03,58.39,58.35,65.68,53.30,52.62,52.97,56.89
7.07,58.28,58.24,65.53,53.17,52.45,53.16,56.81
7.10,58.22,58.18,65.48,53.08,52.51,53.21,56.78
7.13,58.16,58.13,65.37,53.04,52.50,53.22,56.74
7.17,58.09,58.08,65.23,52.90,52.37,53.17,56.64
7.20,57.96,57.94,64.98,52.79,52.23,53.10,56.50
7.23,57.92,57.90,64.88,52.78,52.09,52.67,56.37
7.27,57.95,57.93,64.98,52.75,52.09,52.41,56.35
7.30,57.94,57.92,64.87,52.74,51.95,51.35,56.13
7.33,57.95,57.93,64.80,52.74,51.71,51.61,56.12
7.37,58.00,57.99,64.83,52.99,51.52,51.88,56.20
7.40,58.04,58.02,64.85,53.09,51.42,52.11,56.26
7.43,58.10,58.09,64.92,53.31,51.24,52.44,56.35
7.47,58.17,58.17,65.04,53.49,51.18,52.70,56.46
7.50,58.29,58.32,65.14,53.72,51.20,52.93,56.60
7.53,58.42,58.47,65.40,53.90,51.65,54.33,57.02
7.57,58.54,58.62,65.55,53.96,51.86,54.70,57.20
7.60,58.72,58.81,66.16,54.11,52.54,55.34,57.61
7.63,58.78,58.86,66.32,54.22,52.77,55.36,57.72
7.67,58.64,58.76,66.18,54.47,53.27,56.80,58.02
7.70,58.44,58.62,65.45,54.70,53.43,57.46,58.01
7.73,58.37,58.58,63.72,55.07,53.79,56.90,57.74
7.77,57.96,58.19,62.35,55.55,54.85,56.24,57.52
7.80,57.78,58.04,61.35,56.21,56.19,55.22,57.46
7.83,57.74,58.04,60.62,57.01,57.25,55.26,57.65
7.87,57.67,58.00,59.93,57.80,60.23,55.03,58.11
7.90,57.69,58.06,59.56,58.33,62.68,55.17,58.58
7.93,57.73,58.11,59.35,58.93,63.82,53.54,58.58
7.97,57.79,58.17,58.55,59.68,64.27,52.87,58.55
8.00,57.69,58.08,57.99,60.53,64.70,53.41,58.73
8.03,57.48,57.89,57.45,60.56,64.40,53.05,58.47
8.07,57.34,57.75,57.13,60.70,65.66,52.91,58.58
8.10,57.07,57.49,56.80,60.63,66.39,52.76,58.52
8.13,56.87,57.29,56.56,60.60,66.18,52.75,58.38
8.17,56.72,57.13,56.32,60.52,66.23,52.54,58.24
8.20,56.69,57.11,56.16,60.54,66.06,52.44,58.17
8.23,56.54,56.97,55.81,60.47,65.89,52.30,58.00
8.27,56.57,57.00,55.78,60.55,66.04,52.53,58.08
8.30,56.67,57.09,55.83,60.64,66.20,52.68,58.19
8.33,56.69,57.12,55.83,60.64,66.20,52.24,58.12
8.37,56.66,57.09,55.81,60.63,65.79,52.20,58.03
8.40,56.70,57.11,55.92,60.64,65.85,51.96,58.03
8.43,56.78,57.16,56.01,60.67,65.92,52.53,58.18
8.47,56.84,57.20,56.06,60.69,66.00,53.06,58.31
8.50,56.91,57.22,56.18,60.66,66.19,53.19,58.39
8.53,56.93,57.21,56.29,60.51,66.31,53.34,58.43
8.57,56.64,56.91,55.95,60.10,65.66,53.87,58.19
8.60,56.40,56.68,55.64,59.87,65.10,54.20,57.98
8.63,56.31,56.57,55.57,59.81,64.81,54.22,57.88
8.67,56.34,56.59,55.64,59.91,64.90,54.43,57.97
8.70,56.33,56.57,55.62,59.87,65.45,54.40,58.04
8.73,56.37,56.60,55.64,59.84,65.88,54.20,58.09
8.77,56.41,56.62,55.68,60.07,66.17,54.60,58.26
8.80,56.43,56.64,55.55,60.18,66.29,54.46,58.26
8.83,56.45,56.65,55.55,60.30,66.34,54.28,58.26
8.87,56.43,56.62,55.55,60.29,66.33,54.08,58.22
8.90,56.37,56.56,55.47,60.22,66.21,53.72,58.09
8.93,56.31,56.50,55.38,60.21,66.09,53.62,58.02
8.97,56.27,56.47,55.34,60.21,66.01,53.60,57.98
9.00,56.32,56.52,55.38,60.51,66.09,53.57,58.06
9.03,56.36,56.57,55.46,60.74,66.06,53.60,58.13
9.07,56.46,56.68,55.58,61.12,66.06,53.80,58.28
9.10,56.62,56.85,55.79,61.41,66.08,53.96,58.45
9.13,56.69,56.93,55.84,61.65,66.14,54.22,58.58
9.17,56.89,57.13,56.05,61.79,66.09,54.26,58.70
9.20,57.12,57.35,56.27,61.90,66.29,53.54,58.74
9.23,57.27,57.50,56.48,61.97,66.46,53.31,58.83
9.27,57.33,57.57,56.60,62.08,66.19,52.66,58.74
9.30,57.37,57.62,56.61,62.07,66.13,52.86,58.78
9.33,57.37,57.62,56.55,62.03,66.12,53.09,58.80
9.37,57.25,57.53,56.15,61.81,65.66,53.14,58.59
9.40,57.19,57.48,55.95,61.66,65.56,53.23,58.51
9.43,57.21,57.51,55.92,61.65,65.47,53.54,58.55
9.47,57.24,57.54,55.96,61.54,65.44,53.64,58.56
9.50,57.25,57.53,55.96,61.46,65.41,53.67,58.55
9.53,56.97,57.26,55.72,61.74,65.29,54.43,58.57
9.57,56.95,57.21,55.70,61.92,65.40,55.09,58.71
9.60,56.79,57.05,55.57,61.87,65.19,55.27,58.62
9.63,56.48,56.74,55.31,61.53,64.29,55.15,58.25
9.67,56.21,56.46,54.98,61.40,63.85,56.25,58.19
9.70,56.18,56.43,54.93,61.39,63.70,56.13,58.13
9.73,56.23,56.47,54.97,61.46,63.72,55.96,58.14
9.77,56.29,56.52,55.06,61.52,63.74,55.72,58.14
9.80,56.47,56.70,55.26,62.18,63.92,56.03,58.43
9.83,56.56,56.82,55.38,62.80,63.85,56.21,58.60
9.87,56.75,57.03,55.60,63.27,64.15,56.29,58.85
9.90,56.91,57.20,55.81,63.44,64.57,56.43,59.06
