timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,83.40,77.62,84.73,77.43,83.15,77.55,80.65
0.03,83.61,79.64,84.00,78.17,87.30,80.10,82.13
0.07,81.59,77.22,81.15,76.74,80.46,77.78,79.16
0.10,79.40,76.40,78.57,74.19,79.84,75.26,77.28
0.13,79.19,74.45,77.72,71.98,75.51,71.54,75.06
0.17,78.79,75.29,78.00,74.31,77.82,73.09,76.22
0.20,81.56,76.28,80.22,75.59,78.51,76.30,78.08
0.23,80.08,76.12,79.37,75.34,78.49,76.27,77.61
0.27,82.64,76.59,81.99,75.03,80.58,76.29,78.85
0.30,79.83,74.43,78.47,72.06,78.00,72.30,75.85
0.33,79.55,74.09,78.63,71.93,78.13,71.80,75.69
0.37,81.62,75.83,80.36,74.03,78.10,74.21,77.36
0.40,82.40,76.47,80.99,74.70,79.88,74.79,78.21
0.43,87.44,80.33,86.39,79.76,85.74,79.18,83.14
0.47,84.77,78.46,83.43,76.95,82.96,76.44,80.50
0.50,86.06,79.65,84.04,77.78,83.04,76.93,81.25
0.53,86.98,80.79,85.06,79.02,84.19,77.45,82.25
0.57,88.00,81.73,85.75,80.29,84.10,78.79,83.11
0.60,89.04,82.51,86.47,81.24,83.50,79.01,83.63
0.63,89.54,82.88,86.71,81.63,83.06,78.32,83.69
0.67,80.50,75.98,76.65,77.18,76.80,75.61,77.12
0.70,79.26,74.92,75.41,76.61,76.12,74.09,76.07
0.73,79.30,75.50,75.41,78.11,76.27,74.97,76.59
0.77,79.51,75.86,75.09,78.95,75.78,75.31,76.75
0.80,82.40,80.04,77.05,85.63,75.64,86.73,81.25
0.83,82.78,80.88,77.44,85.44,75.79,85.23,81.26
0.87,82.94,81.66,79.56,85.60,76.42,82.57,81.46
0.90,86.45,85.20,83.62,89.90,75.21,87.81,84.70
0.93,88.52,87.94,88.69,91.17,80.80,84.46,86.93
0.97,89.84,90.38,95.46,91.71,77.94,93.58,89.82
1.00,84.76,83.20,90.70,88.89,77.28,90.02,85.81
1.03,72.64,70.34,76.08,76.34,66.11,86.97,74.75
1.07,73.00,70.40,75.91,73.97,71.38,83.30,74.66
1.10,74.42,71.06,77.80,69.74,75.36,78.27,74.44
1.13,76.16,73.81,78.20,70.90,75.07,76.91,75.17
1.17,80.49,79.35,85.23,78.61,77.54,84.32,80.92
1.20,80.88,80.45,87.45,80.03,83.55,92.28,84.11
1.23,77.89,78.96,86.83,83.56,85.40,97.42,85.01
1.27,73.40,74.62,78.88,81.33,94.23,92.83,82.55
1.30,74.74,76.00,83.63,84.29,88.22,94.36,83.54
1.33,76.59,78.21,78.86,85.40,89.23,95.41,83.95
1.37,67.17,68.91,60.21,69.93,61.91,77.99,67.69
1.40,67.63,69.78,56.80,67.45,57.44,73.67,65.46
1.43,72.58,73.23,69.28,71.13,83.60,75.46,74.22
1.47,74.40,73.30,70.85,67.01,94.05,69.43,74.84
1.50,74.71,72.66,71.51,66.01,94.18,67.66,74.46
1.53,80.34,77.04,75.41,67.84,98.41,72.97,78.67
1.57,99.22,93.98,94.06,82.91,70.49,87.81,88.08
1.60,95.56,96.25,93.61,81.38,66.76,89.61,87.19
1.63,96.71,97.62,95.27,78.14,72.39,82.10,87.04
1.67,96.45,94.61,95.87,79.68,76.61,76.42,86.61
1.70,97.35,97.36,97.62,75.45,78.05,72.45,86.38
1.73,96.83,95.68,95.63,78.27,81.64,73.82,86.98
1.77,96.04,94.28,90.49,78.16,84.39,72.46,85.97
1.80,95.77,94.04,90.00,77.64,83.16,70.66,85.21
1.83,98.40,97.24,91.80,76.07,82.36,67.76,85.61
1.87,97.88,97.90,92.19,77.02,81.24,67.08,85.55
1.90,97.68,98.06,91.92,77.24,82.72,66.11,85.62
1.93,97.10,99.60,92.62,76.90,82.57,65.21,85.67
1.97,96.14,99.29,93.11,76.64,81.31,64.10,85.10
2.00,96.98,99.11,92.00,77.04,82.40,64.48,85.33
2.03,94.82,97.82,92.91,76.08,81.08,63.98,84.45
2.07,93.78,96.76,93.66,75.19,80.38,64.02,83.97
2.10,93.49,97.28,94.65,74.92,79.50,63.98,83.97
2.13,93.93,97.17,95.13,74.74,79.21,63.98,84.03
2.17,93.81,97.14,95.35,74.68,78.76,64.06,83.97
2.20,93.38,96.56,95.85,74.46,79.17,64.00,83.91
2.23,92.71,95.89,96.44,74.24,79.44,63.87,83.76
2.27,93.51,96.83,95.49,74.83,80.66,63.94,84.21
2.30,94.46,98.10,94.35,75.44,81.79,64.08,84.70
2.33,94.71,98.24,93.82,75.48,82.65,63.88,84.80
2.37,95.15,98.52,93.33,75.87,83.24,64.04,85.03
2.40,95.56,98.74,92.94,76.07,83.60,64.28,85.20
2.43,96.69,99.49,92.21,76.34,84.24,65.13,85.68
