timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,69.16,69.38,64.96,70.71,65.86,68.68,68.12
0.03,95.65,94.77,95.64,93.10,96.64,90.68,94.41
0.07,76.82,77.34,76.07,80.08,76.24,79.85,77.73
0.10,84.90,85.47,84.33,89.45,83.31,90.12,86.26
0.13,84.35,86.14,83.40,86.59,81.10,85.85,84.57
0.17,87.59,89.18,86.44,92.01,86.98,92.81,89.17
0.20,82.61,84.34,80.38,86.54,80.38,87.04,83.55
0.23,91.40,93.02,88.87,95.35,90.21,92.38,91.87
0.27,91.68,93.60,90.03,93.94,92.80,89.88,91.99
0.30,87.77,89.14,86.35,89.77,86.31,87.71,87.84
0.33,72.60,72.99,69.10,72.51,67.70,72.71,71.27
0.37,88.12,90.05,87.60,91.90,88.39,90.06,89.35
0.40,82.79,84.40,81.57,84.85,80.43,84.13,83.03
0.43,66.38,67.27,63.11,66.82,60.54,65.53,64.94
0.47,84.44,86.53,83.78,87.11,82.27,86.95,85.18
0.50,78.77,80.63,77.07,80.89,75.57,80.62,78.92
0.53,78.54,80.19,76.88,80.85,76.01,81.29,78.96
0.57,83.34,85.04,81.98,86.08,81.80,84.20,83.74
0.60,84.34,85.73,83.29,87.93,84.35,86.07,85.28
0.63,82.92,84.23,81.91,85.84,82.78,84.10,83.63
0.67,77.26,77.54,74.42,78.91,73.40,76.22,76.29
0.70,74.57,74.37,71.17,75.55,70.18,72.96,73.13
0.73,77.51,77.40,73.88,78.03,74.23,75.63,76.11
0.77,76.77,76.63,72.89,77.48,73.70,75.52,75.50
0.80,75.29,74.90,71.46,75.73,71.50,73.25,73.69
0.83,72.61,72.25,68.42,72.77,67.65,69.90,70.60
0.87,75.38,75.29,71.47,76.03,71.14,73.24,73.76
0.90,77.46,77.56,73.79,78.52,73.43,75.79,76.09
0.93,78.57,78.79,74.90,79.83,74.58,77.22,77.32
0.97,79.00,79.24,75.27,80.44,75.01,78.03,77.83
1.00,79.43,79.76,75.70,81.03,75.38,78.85,78.36
