timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,87.43,87.56,84.28,91.47,76.18,84.90,85.30
0.03,78.64,78.35,73.78,81.82,68.93,75.93,76.24
0.07,81.52,80.76,76.01,82.49,71.00,78.43,78.37
0.10,81.75,81.12,77.62,85.23,70.97,82.62,79.89
0.13,83.13,82.77,79.79,87.38,73.70,84.95,81.95
0.17,81.97,81.92,77.29,85.46,71.82,81.48,79.99
0.20,82.98,83.21,79.44,88.56,74.16,83.80,82.02
0.23,83.01,83.35,79.46,87.92,73.92,83.57,81.87
0.27,83.89,83.85,80.80,88.98,74.57,87.54,83.27
0.30,83.70,83.65,80.92,89.48,73.88,87.95,83.26
0.33,83.42,83.36,80.32,88.77,73.45,87.12,82.74
0.37,83.37,83.27,80.28,88.25,73.66,87.16,82.67
0.40,83.34,83.28,80.41,88.37,73.51,86.08,82.50
0.43,83.33,83.27,80.26,87.92,73.46,84.88,82.19
0.47,83.51,83.46,80.42,88.16,73.68,85.62,82.47
0.50,83.80,83.78,80.86,88.67,73.85,87.02,83.00
0.53,83.98,83.99,81.27,89.08,74.43,87.66,83.40
0.57,84.03,84.04,81.41,89.18,74.59,88.22,83.58
0.60,84.05,84.06,81.51,89.20,74.27,88.12,83.53
0.63,84.07,84.07,81.55,89.31,74.07,88.38,83.57
0.67,84.13,84.13,81.63,89.48,74.02,88.34,83.62
0.70,84.20,84.20,81.73,89.73,74.05,88.72,83.77
0.73,84.24,84.24,81.79,89.97,74.12,89.06,83.90
0.77,84.32,84.33,81.90,90.40,74.15,89.48,84.10
0.80,84.50,84.52,82.18,90.47,74.31,89.69,84.28
0.83,84.63,84.66,82.37,90.62,74.40,89.91,84.43
0.87,84.77,84.81,82.55,90.81,74.53,90.27,84.62
0.90,84.83,84.87,82.58,90.86,74.57,90.30,84.67
0.93,84.93,85.09,82.56,90.82,75.93,90.61,84.99
0.97,84.94,85.09,82.42,90.88,75.66,90.66,84.94
1.00,84.99,85.14,82.44,91.06,75.31,90.92,84.98
1.03,85.00,85.15,82.40,91.07,74.98,90.97,84.93
1.07,84.95,85.10,82.30,91.09,74.41,91.42,84.88
1.10,84.96,85.12,82.26,91.14,74.10,91.59,84.86
1.13,84.96,85.13,82.21,91.18,73.64,91.95,84.85
1.17,84.95,85.10,82.12,91.09,73.10,92.20,84.76
1.20,84.95,85.05,82.01,91.15,72.92,92.72,84.80
1.23,84.97,85.04,81.94,91.12,72.73,92.95,84.79
1.27,84.93,84.98,81.73,90.94,72.31,92.87,84.63
1.30,85.10,85.14,81.84,91.07,72.36,92.86,84.73
1.33,85.11,85.13,81.83,91.09,72.32,92.84,84.72
1.37,85.21,85.22,82.11,91.02,72.45,91.68,84.62
1.40,85.21,85.20,82.13,90.42,72.45,90.48,84.31
1.43,85.45,85.43,82.79,90.07,72.63,89.41,84.30
1.47,85.79,85.78,83.62,89.70,72.98,87.50,84.23
1.50,85.98,85.98,84.44,89.13,73.19,87.19,84.32
1.53,86.05,86.08,85.07,88.90,73.35,86.94,84.40
1.57,86.30,86.37,85.57,89.16,73.68,87.52,84.77
1.60,86.78,86.79,87.30,90.18,74.74,89.38,85.86
1.63,87.10,87.12,88.32,90.64,75.12,90.50,86.47
1.67,87.46,87.45,90.01,91.21,75.73,91.73,87.26
1.70,87.63,87.58,90.27,91.24,75.73,91.63,87.35
1.73,87.74,87.69,90.64,91.02,75.90,91.69,87.44
1.77,87.49,87.27,90.01,89.95,75.94,91.00,86.94
1.80,87.55,87.18,90.07,89.39,75.79,90.73,86.79
1.83,87.99,87.55,92.34,89.26,76.19,91.45,87.46
1.87,88.05,87.74,91.65,88.26,77.28,89.89,87.14
1.90,87.99,87.62,91.93,87.89,78.03,90.10,87.26
1.93,88.43,88.03,93.19,87.97,80.11,91.35,88.18
1.97,88.63,88.34,92.64,86.71,82.37,90.35,88.17
2.00,88.49,88.29,92.42,84.74,82.59,42.36,79.82
2.03,88.29,88.01,92.14,85.42,82.98,60.16,82.84
2.07,87.81,87.63,90.92,85.37,83.40,75.47,85.10
2.10,87.61,87.44,91.86,85.42,82.41,88.19,87.16
2.13,87.80,87.67,93.63,85.18,82.21,89.32,87.64
2.17,87.85,87.82,93.81,85.03,84.76,87.46,87.79
2.20,87.55,87.50,93.27,84.20,86.04,85.51,87.35
2.23,87.25,87.09,92.66,82.94,87.17,84.12,86.87
2.27,85.04,84.86,89.07,79.33,86.46,77.94,83.78
