timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,69.21,69.28,69.43,67.20,57.78,68.38,66.88
0.03,69.49,67.86,70.06,66.72,58.60,67.13,66.65
0.07,70.42,71.67,71.61,67.42,61.04,66.18,68.05
0.10,70.24,69.70,70.43,66.66,58.73,66.26,67.00
0.13,70.54,70.40,68.34,66.75,57.80,65.10,66.49
0.17,69.15,68.83,68.33,66.29,57.77,66.09,66.08
0.20,68.02,67.74,67.81,65.74,57.35,64.60,65.21
0.23,66.58,66.71,66.99,65.13,57.79,65.21,64.74
0.27,67.47,67.31,66.31,66.69,57.61,68.20,65.60
0.30,66.03,66.06,65.01,65.68,56.68,66.83,64.38
0.33,65.84,66.10,64.73,65.08,57.31,66.39,64.24
0.37,68.39,68.31,67.20,66.41,58.47,67.82,66.10
0.40,66.25,66.23,65.54,64.82,56.29,64.75,63.98
0.43,67.47,67.47,67.41,65.62,58.16,65.21,65.22
0.47,67.27,67.23,66.84,65.50,57.43,65.40,64.95
0.50,68.27,68.34,68.75,66.07,57.69,65.66,65.80
0.53,68.39,68.36,67.95,66.10,57.45,66.24,65.75
0.57,68.95,68.79,67.86,66.47,57.60,66.98,66.11
0.60,68.64,68.69,68.11,66.25,57.44,65.99,65.85
0.63,67.79,67.89,67.35,65.60,56.73,64.76,65.02
0.67,67.20,67.37,66.90,65.25,56.69,63.70,64.52
0.70,66.78,67.02,66.79,64.94,56.47,63.16,64.19
0.73,66.69,66.99,66.43,64.94,56.19,63.26,64.08
0.77,66.63,66.91,66.42,65.15,56.12,63.95,64.19
0.80,66.96,67.25,66.80,65.53,56.66,64.54,64.62
0.83,67.13,67.42,66.98,65.73,57.12,64.81,64.87
0.87,66.84,67.11,66.97,65.67,57.22,64.68,64.75
0.90,66.56,66.82,66.95,65.57,57.27,64.49,64.61
0.93,66.24,66.45,66.54,65.37,57.02,64.16,64.30
0.97,66.20,66.36,66.36,65.31,56.92,64.15,64.22
1.00,66.14,66.30,66.43,65.30,56.91,64.19,64.21
1.03,66.19,66.34,66.49,65.30,56.94,64.38,64.27
1.07,66.35,66.47,66.64,65.46,57.06,64.52,64.42
1.10,66.48,66.58,66.73,65.60,57.12,64.72,64.54
1.13,66.58,66.64,66.84,65.68,57.14,64.86,64.62
1.17,66.65,66.68,66.87,65.66,57.14,64.94,64.66
1.20,66.75,66.79,66.92,65.68,57.15,65.06,64.73
1.23,66.84,66.92,66.97,65.69,57.20,65.21,64.81
1.27,66.94,67.04,67.00,65.95,57.29,65.21,64.91
1.30,67.09,67.20,66.98,66.16,57.40,65.24,65.01
1.33,67.23,67.32,67.06,66.45,57.64,65.46,65.19
1.37,67.28,67.37,67.02,66.62,57.75,65.61,65.27
1.40,67.22,67.31,66.96,66.63,57.75,65.63,65.25
1.43,67.17,67.28,66.95,66.58,57.74,65.42,65.19
1.47,67.14,67.25,67.00,66.55,57.96,65.32,65.20
1.50,67.13,67.24,67.07,66.53,58.20,65.21,65.23
1.53,67.16,67.27,67.07,66.53,58.29,65.19,65.25
1.57,67.22,67.30,67.14,66.53,58.33,65.37,65.31
1.60,67.34,67.38,67.25,66.56,58.58,65.54,65.44
1.63,67.35,67.39,67.23,66.56,58.66,65.67,65.48
1.67,67.41,67.40,67.45,66.56,58.72,65.71,65.54
1.70,67.50,67.46,67.78,66.57,58.92,65.71,65.66
1.73,67.45,67.41,67.95,66.50,59.09,65.50,65.65
1.77,68.52,68.05,72.13,66.65,60.62,68.18,67.36
1.80,68.30,67.84,72.08,66.50,60.51,67.32,67.09
1.83,67.96,67.59,71.65,66.32,60.28,65.56,66.56
1.87,67.97,67.57,72.63,66.30,61.12,64.80,66.73
1.90,70.41,69.80,78.74,66.51,58.10,65.19,68.12
1.93,70.57,69.98,78.18,66.29,58.78,55.21,66.50
1.97,71.14,70.41,79.02,66.44,57.85,55.87,66.79
2.00,71.54,70.69,78.84,66.87,58.72,55.33,67.00
2.03,71.16,70.35,78.02,66.03,59.00,53.32,66.32
2.07,70.85,70.08,77.65,65.75,59.43,52.36,66.02
2.10,70.50,69.78,77.29,65.47,61.64,52.63,66.22
2.13,71.11,70.07,77.41,65.87,65.02,56.68,67.69
2.17,70.85,69.66,77.52,65.74,65.18,55.78,67.45
2.20,70.56,69.32,76.94,65.41,64.84,55.88,67.16
2.23,69.55,68.57,76.07,63.72,64.21,54.09,66.04
2.27,69.31,68.41,74.27,63.24,67.22,53.44,65.98
2.30,72.33,68.58,68.87,64.82,75.25,67.07,69.49
2.33,72.14,68.89,68.65,65.15,73.60,66.20,69.10
2.37,73.05,69.77,68.96,69.62,72.67,64.31,69.73
2.40,68.83,66.29,84.08,73.36,83.59,62.48,73.11
2.43,66.67,63.35,88.19,80.11,81.55,80.38,76.71
2.47,68.63,64.26,88.12,81.85,76.38,79.18,76.40
2.50,76.87,72.75,68.52,67.51,61.78,61.78,68.20
2.53,76.10,73.19,66.51,59.82,61.42,57.38,65.74
2.57,75.97,73.10,73.13,60.28,65.41,59.18,67.85
2.60,76.06,73.03,80.13,61.72,64.80,61.90,69.61
2.63,74.42,71.99,86.50,60.54,67.71,64.04,70.87
2.67,73.55,71.36,85.47,59.70,68.57,64.48,70.52
2.70,72.12,70.48,90.40,58.30,66.57,62.50,70.06
2.73,70.79,69.58,92.66,56.56,76.30,58.81,70.78
2.77,70.80,70.06,93.14,57.09,76.57,53.76,70.24
2.80,70.46,69.96,94.41,55.50,68.77,53.50,68.77
2.83,70.18,69.63,89.14,54.97,72.05,53.98,68.33
2.87,70.36,69.81,89.40,49.57,69.03,53.42,66.93
2.90,70.07,69.50,90.84,49.09,73.07,51.82,67.40
2.93,70.02,69.41,82.19,47.73,73.36,50.31,65.50
2.97,70.31,69.82,83.88,48.36,78.26,48.21,66.47
3.00,71.62,71.29,82.92,48.96,82.32,47.69,67.47
3.03,73.50,72.17,84.41,49.23,89.14,49.39,69.64
3.07,74.02,72.00,85.86,51.62,88.76,50.40,70.44
3.10,74.32,72.46,84.80,50.95,88.63,49.02,70.03
3.13,75.36,72.56,85.13,51.57,85.52,48.55,69.78
3.17,75.46,72.50,75.01,52.11,90.70,49.64,69.24
3.20,75.19,72.27,76.21,51.44,88.12,49.01,68.71
3.23,74.30,72.01,68.51,50.43,88.60,49.27,67.19
3.27,73.18,71.37,63.17,47.89,76.08,48.27,63.33
3.30,72.14,70.56,66.58,45.98,64.34,46.58,61.03
3.33,72.16,70.55,66.89,45.76,75.46,49.19,63.33
3.37,70.62,69.74,64.68,45.44,77.25,48.80,62.76
3.40,69.69,69.41,63.10,44.22,72.16,47.96,61.09
3.43,68.63,68.60,62.99,43.39,72.82,48.11,60.76
3.47,67.91,67.83,64.94,42.84,72.39,45.91,60.30
3.50,66.82,66.42,65.93,42.87,62.61,45.13,58.30
3.53,66.70,66.18,62.51,43.04,60.14,44.82,57.23
3.57,66.00,65.04,61.35,43.53,57.02,44.63,56.26
3.60,65.46,64.50,59.86,43.09,56.93,44.15,55.66
3.63,64.86,63.79,62.98,43.93,58.34,43.68,56.26
3.67,64.65,63.66,65.32,44.34,60.89,43.25,57.02
3.70,64.42,63.38,65.57,44.40,62.02,43.29,57.18
3.73,63.96,62.96,65.13,43.54,61.56,43.95,56.85
3.77,64.33,63.41,63.56,42.99,61.03,43.61,56.49
3.80,64.58,63.40,63.40,42.78,62.33,44.04,56.76
3.83,65.07,63.61,62.64,43.81,60.22,44.72,56.68
3.87,65.82,64.30,62.02,43.58,60.96,44.91,56.93
